type,scenario,backtest_pair,ema_periods,price,profit,timeframe
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",246.85,-69.00145867001265,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",241.61,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",238.2,-1282.5781872996886,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",230.18,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",215.99,-5131.266145703077,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",222.93,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",215.35,-2699.8972546593286,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",222.53,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",216.92,-1957.6876807914377,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",209.66,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",212.75,955.044384565379,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",176.1,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",176.59,100.21379749865446,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",179.27,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",183.02,1418.1643150784657,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",178.88,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",180.05,380.7156136518752,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",188.96,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",191.49,892.6033438727318,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",150.62,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",146.67,-2081.7016212312737,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",146.14,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",147.83,744.6583969653293,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",147.55,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",142.95,-2411.2675401396264,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",96.67,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",92.93,-2870.7822695082723,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",106.1,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",99.2,-4566.840503348343,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",104.92,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",112.88,4779.337396540461,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",113.73,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",114.36,285.33018581714714,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",114.07,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",111.79,-1480.9704214436933,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",104.25,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",99.5,-3182.3627746907805,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",89.97,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",87.3,-2007.092766765687,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",89.18,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",99.04,6831.1134120854695,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",83.61,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",85.73,1662.4230030225008,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",89.83,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",90.3,272.2038098162884,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",90.07,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",99.23,7154.355876995542,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",102.67,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",100.4,-1845.0581028586312,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",106.0,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",110.22,2943.4782520201406,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",111.95,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",135.72,16783.9257265177,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",132.83,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",131.51,-1092.3209691962838,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",102.5,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",105.89,3016.489497234841,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",107.75,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",102.49,-4934.171603767201,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",93.31,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",89.8,-3641.451306711868,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",56.33,nan,1h
